Dataset,gamma1,Model,ModelClass,Transform,TransformClass,RMSE_train,RMSE_test,MAE_test,MAPE_test,R2_test,delta_RMSE_train_pct,delta_RMSE_test_pct,CV_RMSE_mean,CV_RMSE_std,DM_stat,DM_p,paired_t_stat,paired_t_p,cohens_d,min_n_80power,is_underpowered
Yacht_Hydrodynamics,1.7477493780248623,Lasso,линейные,asinh(y),гиперболическое,4.142589084885421,2.9593001873900193,1.2892158339163096,79.23434328526601,0.9410617573906008,-54.235370383210636,-63.57563394686889,4.065015623574086,1.888558559709276,6.069007471779003,1.2870315924118358e-09,-16.197648885751946,8.499389368150189e-05,0.7707647196810384,13.2118617258356,0.0
Yacht_Hydrodynamics,1.7477493780248623,Lasso,линейные,Box-Cox,степенное параметрическое (λ по MLE),2.8899053070888674,2.0992163299668483,0.9682106190619941,28.28703808668425,0.9703425688334786,-68.07420593824745,-74.1619237030293,2.8227881272209165,1.3442123552450387,5.415445479592772,6.113629935633469e-08,-37.13582119814925,3.1396596921861513e-06,0.6877622636708896,16.59323211176599,0.0
Yacht_Hydrodynamics,1.7477493780248623,Lasso,линейные,Yeo-Johnson,"степенное параметрическое (λ по MLE, R)",3.2418133773966638,2.081860206134524,0.8948619613283485,27.508067953458493,0.9708309512241768,-64.18655447999502,-74.37555049575076,3.0815375933562446,1.6798904618729356,5.273789694400604,1.3363503814645128e-07,-20.803160408102762,3.154810682347963e-05,0.6697719609611725,17.49660347977751,0.0
Yacht_Hydrodynamics,1.7477493780248623,Lasso,линейные,Quantile,ранговое непараметрическое,3.89236136401921,3.6255436642854852,1.9374237724090153,44.4472641719189,0.9115362350406759,-56.999723479943675,-55.37521670418483,4.2248240532301455,0.24481035869135637,4.102077207202508,4.0945758797983345e-05,-8.529039028175667,0.001036960886160172,0.5209643262793052,28.919561510518673,0.0
Yacht_Hydrodynamics,1.7477493780248623,Random Forest,древесные,Без преобр.,—,1.222426270996248,0.6646474270667966,0.36931673960442746,19.183945678425463,0.9970269528648973,0.0,0.0,1.6027889105997974,0.7099865051115364,,,,,,,
Yacht_Hydrodynamics,1.7477493780248623,XGBoost,древесные,Без преобр.,—,0.018240764923695228,0.5711622299650784,0.2653587582394961,30.451821505121895,0.9978044764497872,0.0,0.0,1.3578971799099944,0.6152813383959658,,,,,,,
Yacht_Hydrodynamics,1.7477493780248623,MLP,нейросетевые,Без преобр.,—,3.718068192988656,4.040107539305664,2.169981380656338,92.55872830234216,0.8901487534657063,0.0,0.0,3.1178674108116584,1.1143046600158575,,,,,,,
Yacht_Hydrodynamics,1.7477493780248623,Gamma GLM,glm,Без преобр.,—,2.1842584951689186,0.8676235778401377,0.5038887888340635,33.97224591585176,0.9949338058400904,0.0,0.0,2.205935690357501,0.7941146938399185,,,,,,,
Yacht_Hydrodynamics,1.7477493780248623,Tweedie GLM,glm,Без преобр.,—,1.5725952868965005,0.7844858131494661,0.48458760300929443,34.30744272266964,0.9958581980613344,0.0,0.0,1.6704887484270698,0.8610593786460573,,,,,,,
Yacht_Hydrodynamics,1.7477493780248623,XGB-Gamma,древесные-glm-loss,Без преобр.,—,0.10469901759594237,1.3167238666200918,0.4488215238048184,12.005366245388066,0.9883316740095544,0.0,0.0,3.185048473238831,1.4133626013402554,,,,,,,
Yacht_Hydrodynamics,1.7477493780248623,XGB-Tweedie,древесные-glm-loss,Без преобр.,—,0.05939912491375986,1.3009405290300893,0.4349639511637149,11.477673619091359,0.9886097298044627,0.0,0.0,3.548342327721106,1.3740879886613795,,,,,,,
Ames_Housing,1.9310266972809633,МНК,линейные,Без преобр.,—,35596.833828958836,39896.423405827016,23643.511694372653,11.983623900223792,0.7981919836405458,0.0,0.0,41782.12788078596,9988.588360750357,,,,,,,
